,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,11 Com b,11 Com,2,1.0,Radial Velocity,2007.0,Xinglong Station,0.0,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,12.1,,,0.0,1.08,,,0.0,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0.0,Msini,0.231,0.005,-0.005,0.0,,,,,,,,,0,G8 III,4742.0
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,11 UMi b,11 UMi,1,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,0.0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,1.09,,,0.0,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0,K4 III,4213.0
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,14 And b,14 And,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,185.84,0.23,-0.23,0.0,0.83,,,0.0,12.9,,,0.0,1.15,,,0.0,1525.5,,,0,4.8,,,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K0 III,4813.0
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,14 Her b,14 Her,1,2.0,Radial Velocity,2002.0,W. M. Keck Observatory,0.0,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,12.9,,,0.0,1.15,,,0.0,1481.0878,47.6745,-47.6745,0,4.66,0.15,-0.15,0.0,Msini,0.37,0.0,0.0,0.0,,,,,,,,,0,K0 V,5338.0
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,16 Cyg B b,16 Cyg B,3,1.0,Radial Velocity,1996.0,Multiple Observatories,0.0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,,,0.0,1.2,,,0.0,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0.0,Msini,0.68,0.02,-0.02,0.0,,,,,,,,,0,G3 V,5750.0
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,18 Del b,18 Del,2,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,993.3,3.2,-3.2,0.0,2.6,,,0.0,12.5,,,0.0,1.11,,,0.0,3273.5,,,0,10.3,,,0.0,Msini,0.08,0.01,-0.01,0.0,,,,,,,,,0,G6 III,4979.0
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1.0,Imaging,2008.0,Gemini Observatory,0.0,,,,,330.0,,,0.0,18.647,,,0.0,1.664,,,0.0,3000.0,300.0,-300.0,0,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,1700,100.0,-100.0,0.0,0,K7 V,4060.0
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,24 Boo b,24 Boo,1,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,0.0,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,13.9,,,0.0,1.24,,,0.0,289.2253,41.3179,-31.783,0,0.91,0.13,-0.1,0.0,Msini,0.042,0.048,-0.029,0.0,,,,,,,,,0,G3 IV,4893.0
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,24 Sex b,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,1.19,,,0.0,632.46,82.63,-120.77,0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0,K0 IV,5098.0
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,24 Sex c,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,273.32,111.24,-69.92,0,0.86,0.35,-0.22,0.0,Msini,0.29,0.16,-0.09,0.0,,,,,,,,,0,K0 IV,5098.0
